iter	MultiClass
0	1.473662845
1	1.378640166
2	1.300380948
3	1.233480671
4	1.168232775
5	1.117959987
6	1.068195418
7	1.021139053
8	0.9870940609
9	0.9511049773
10	0.9175078893
11	0.8809910943
12	0.8501230404
13	0.8196945509
14	0.7925407474
15	0.7632063072
16	0.7389111844
17	0.7137623095
18	0.693311091
19	0.6732343774
20	0.6532715293
21	0.6377427415
22	0.6220244318
23	0.6068132789
24	0.5930262217
25	0.5799335293
26	0.5684645186
27	0.5577916851
28	0.545114895
29	0.5367974773
30	0.5255769644
31	0.5168210384
32	0.5084692168
33	0.500767539
34	0.4943267353
35	0.4880451581
36	0.4806669722
37	0.4756503406
38	0.470578709
39	0.4652246325
40	0.4593340861
41	0.4546475818
42	0.4494367388
43	0.4467038921
44	0.4434429907
45	0.4399119421
46	0.4350840321
47	0.4315238236
48	0.4287478022
49	0.4241633864
50	0.4214103526
51	0.4190917445
52	0.4162349407
53	0.4132662489
54	0.4108058054
55	0.407734319
56	0.4047549638
57	0.4027853164
58	0.4004038669
59	0.3978276804
60	0.3949786586
61	0.3930497915
62	0.3910325926
63	0.3891776458
64	0.3872747004
65	0.3857762693
66	0.3840544127
67	0.3822430431
68	0.3808425828
69	0.3794857415
70	0.377605519
71	0.3761032172
72	0.3746299871
73	0.3726046704
74	0.3714654542
75	0.3696552518
76	0.3685870777
77	0.3676149107
78	0.3663768239
79	0.3651998035
80	0.3639974229
81	0.3629197403
82	0.3614781097
83	0.3603103506
84	0.3589647536
85	0.3579525196
86	0.3572283106
87	0.3559900798
88	0.3549333338
89	0.3540001573
90	0.3531095355
91	0.3522563149
92	0.3512403196
93	0.3504601099
94	0.3494188247
95	0.3482556179
96	0.347486995
97	0.3464597063
98	0.3454817274
99	0.3442767295
100	0.3430847345
101	0.3422398478
102	0.341198154
103	0.3402845755
104	0.33926211
105	0.3383060802
106	0.3377989845
107	0.3370342782
108	0.3363123745
109	0.33541594
110	0.3346816441
111	0.3340529216
112	0.3332968094
113	0.3320995874
114	0.3311339798
115	0.3303707546
116	0.3296509649
117	0.3288092046
118	0.3281259969
119	0.327068287
120	0.3263787811
121	0.3257509227
122	0.3250525167
123	0.3242162869
124	0.3235558394
125	0.3224025086
126	0.3213569152
127	0.3205838476
128	0.3197949353
129	0.3190425541
130	0.318428222
131	0.3176682993
132	0.3170231963
133	0.3163657297
134	0.3153220091
135	0.3144646629
136	0.3136569243
137	0.312826999
138	0.312321028
139	0.3115914538
140	0.3109376485
141	0.3102665205
142	0.3094642098
143	0.308677477
144	0.3080552515
145	0.3074367397
146	0.3067056486
147	0.3059181648
148	0.3050638494
149	0.3044678887
150	0.3038898915
151	0.3032111946
152	0.3025914346
153	0.3018070893
154	0.301411968
155	0.300658777
156	0.3001981063
157	0.2995265943
158	0.2988968077
159	0.2981137824
160	0.2974056415
161	0.2968190167
162	0.2961619254
163	0.2953571672
164	0.294620353
165	0.2939233543
166	0.2930566601
167	0.2924622288
168	0.2918502025
169	0.2913193891
170	0.290522598
171	0.2897411914
172	0.2889592565
173	0.2881689033
174	0.287523577
175	0.2867164543
176	0.2860380426
177	0.2852589297
178	0.2845853836
179	0.2841659675
180	0.2835053033
181	0.2828352802
182	0.2823608518
183	0.281826049
184	0.2812749748
185	0.280675873
186	0.2800908438
187	0.2793902547
188	0.278570846
189	0.2777199899
190	0.2769589428
191	0.2765572705
192	0.2758652606
193	0.2752675818
194	0.2747730384
195	0.2740683119
196	0.2736800225
197	0.2730844954
198	0.2723384075
199	0.271851406
200	0.2712905878
201	0.27052689
202	0.2699070249
203	0.269487891
204	0.269105651
205	0.2685361177
206	0.2680211748
207	0.2676191697
208	0.2672034309
209	0.266713583
210	0.2660117353
211	0.2655494799
212	0.2649484815
213	0.2643738537
214	0.2637009519
215	0.2634132663
216	0.2629991807
217	0.2625133445
218	0.2619630481
219	0.2613571063
220	0.2608211402
221	0.2602779787
222	0.2599241968
223	0.2594749954
224	0.2588661049
225	0.2583720225
226	0.2581456436
227	0.2575817449
228	0.2571200891
229	0.2566677305
230	0.2560294627
231	0.2554259942
232	0.2549981684
233	0.2546990941
234	0.2541379099
235	0.2534207749
236	0.2530843789
237	0.2527444193
238	0.2520804369
239	0.2513516347
240	0.2507375131
241	0.2504485854
242	0.2500796711
243	0.2496233663
244	0.2488937883
245	0.2482308346
246	0.2475156392
247	0.2469213987
248	0.2465647111
249	0.2461882298
250	0.2456556876
251	0.2450038885
252	0.2446658421
253	0.2441937109
254	0.243625756
255	0.2429833397
256	0.2423566629
257	0.2416803787
258	0.2412902157
259	0.2409647846
260	0.2404088743
261	0.239949758
262	0.2395462196
263	0.2390660537
264	0.2385360669
265	0.2380170274
266	0.2376026181
267	0.2371350886
268	0.2366169143
269	0.2359535041
270	0.2353775663
271	0.2349031168
272	0.2344796395
273	0.2341478157
274	0.2337336499
275	0.2335088961
276	0.2329643283
277	0.2324439396
278	0.2320511373
279	0.2316947585
280	0.2311472305
281	0.2307591549
282	0.2302687775
283	0.2297144952
284	0.2290629014
285	0.228557813
286	0.2281360478
287	0.2277414276
288	0.2271942047
289	0.2267476457
290	0.2263518688
291	0.22595714
292	0.225743599
293	0.2251848117
294	0.2247899803
295	0.2242538719
296	0.2239172583
297	0.2235796212
298	0.2228607672
299	0.2224389445
